igod_org_id,org_name,branch,state,name,designation,division,phones,office_address,email
3p8Len0BjXgo0VKujWP3,Ministry of Cooperation,ug,,Shri Amit Shah,Minister,,"20849035, 20849036","Atal Akshay Urja Bhawan, 8th Floor, CGO Complex, Lodhi Road, Behind NIA Building, New Delhi",pstohm-cm@gov.in
3p8Len0BjXgo0VKujWP3,Ministry of Cooperation,ug,,Shri Krishan Pal,Minister of State,,,"Atal Akshay Urja Bhawan, 8th Floor, CGO Complex, Lodhi Road, Behind NIA Building, New Delhi",
3p8Len0BjXgo0VKujWP3,Ministry of Cooperation,ug,,Shri Murlidhar Mohol,Minister of State,,,"Atal Akshay Urja Bhawan, 8th Floor, CGO Complex, Lodhi Road, Behind NIA Building, New Delhi",
3p8Len0BjXgo0VKujWP3,Ministry of Cooperation,ug,,Shri Ashish Kumar Bhutani,Secretary,,20849022,,secy-coop@gov.in
9AVrYoUBF92NGf8XaqwV,Campus Ambassador Programme (MyGov),ug,,Shri Ajit Kumar,CEO,MyGov,"011-24369222, 011-24301913",,compliance-officer@mygov.in
F84zv3QBGZk0jujBKgGW,Ministry of Coal,ug,,Shri G. Kishan Reddy,Minister,Ministry of Coal,"26773670, 26773672","Room No.: 4101-Zone-1, GPOA-3, Netaji Nagar, New Delhi -110023",
F84zv3QBGZk0jujBKgGW,Ministry of Coal,ug,,Shri Satish Chandra Dubey,Minister of State,Ministry of Coal,"20903147, 20903148","Room No.: 4201-Zone-2, GPOA-3, Netaji Nagar, New Delhi -110023",
F84zv3QBGZk0jujBKgGW,Ministry of Coal,ug,,Shri Vikram Dev Dutt,Secretary,Ministry of Coal,"20903121, 20903131","Room No.:3501-Zone-5, GPOA-3, Netaji Nagar, New Delhi -110023",secy.moc@nic.in
FM4zv3QBGZk0jujBKgGW,Ministry of Agriculture and Farmers Welfare,ug,,Shri Shivraj Singh Chouhan,Minister,Ministry of Agriculture & Farmers Welfare,"23383370, 23782691, 23794697","Room No- 120, Krishi Bhawan, New Delhi",agrimin.india@gmail.com
FM4zv3QBGZk0jujBKgGW,Ministry of Agriculture and Farmers Welfare,ug,,Shri Ram Nath Thakur,Minister of State,Ministry of Agriculture & Farmers Welfare,"23383975, 23383976","Room No- 322, Krishi Bhawan, New Delhi",
FM4zv3QBGZk0jujBKgGW,Ministry of Agriculture and Farmers Welfare,ug,,Shri Bhagirath Choudhary,Minister of State,Ministry of Agriculture & Farmers Welfare,"23782343, 23388165, 23015410","Room No- 199Q, Krishi Bhawan, New Delhi",
Fc4zv3QBGZk0jujBKgGW,Ministry of Chemicals and Fertilizers,ug,,Shri Jagat Prakash Nadda,Minister,Ministry of Chemicals and Fertilizers,"24014850, 24014781","Room No.: 23000G, 3rd floor, Kartavya Bhawan, New Delhi-110001",min-cnf@gov.in
Fc4zv3QBGZk0jujBKgGW,Ministry of Chemicals and Fertilizers,ug,,Smt. Anupriya Patel,Minister of State,Ministry of Chemicals and Fertilizers,"23381768, 23383686","Room No.: 303 A, A-wing, Shastri Bhawan, New Delhi-110001",mos-cf@gov.in
Fs4zv3QBGZk0jujBKgGW,Ministry of Civil Aviation,ug,,Shri Kinjarapu Rammohan Naidu,Minister,Ministry of Civil Aviation,"24610350, 24632991","Rajiv Gandhi Bhawan Block B, Jorbagh Safdarjung Airport Area, New Delhi - 110003",hm.moca@gov.in
Fs4zv3QBGZk0jujBKgGW,Ministry of Civil Aviation,ug,,Shri Murlidhar Mohol,Minister of State,Ministry of Civil Aviation,"24603846, 24626001","Rajiv Gandhi Bhawan Block B, Jorbagh Safdarjung Airport Area, New Delhi - 110003",mos.moca@gov.in
Fs4zv3QBGZk0jujBKgGW,Ministry of Civil Aviation,ug,,Shri Samir Kumar Sinha,Secretary,Ministry of Civil Aviation,24610368,"Rajiv Gandhi Bhawan Block B, Jorbagh Safdarjung Airport Area, New Delhi - 110003",secy.moca@nic.in
G84zv3QBGZk0jujBKgGW,Ministry of Corporate Affairs,ug,,Smt. Nirmala Sitharaman,Minister,Ministry of Corporate Affairs,24012101,,fmo@nic.in
G84zv3QBGZk0jujBKgGW,Ministry of Corporate Affairs,ug,,Shri Harsh Malhotra,Minister of State,Ministry of Corporate Affairs,"24014101, 24014102",,mos-mcas@gov.in
G84zv3QBGZk0jujBKgGW,Ministry of Corporate Affairs,ug,,Ms. Deepti Gaur Mukerjee,Secretary,Ministry of Corporate Affairs,"24014001, 24014002",,secy.mca@nic.in
GM4zv3QBGZk0jujBKgGW,Ministry of Commerce and Industry,ug,,Shri Piyush Goyal,Minister,Ministry of Commerce and Industry,"23039110, 23039111","Room No.: 501, Vanijya Bhawan, New Delhi - 110001",piyush.goyal@gov.in
GM4zv3QBGZk0jujBKgGW,Ministry of Commerce and Industry,ug,,Shri Jitin Prasada,Minister of State,Ministry of Commerce and Industry,"23039174, 23039184","Room No.: 513, Vanijya Bhawan, New Delhi - 110001",mos-ci@gov.in
Gc4zv3QBGZk0jujBKgGW,Ministry of Communications,ug,,Shri Jyotiraditya M. Scindia,Minister,Ministry of Communications,"23739191, 23710445","Room No.: 105, 1st Floor, Sanchar Bhawan, New Delhi 110001",moc-office@gov.in
Gc4zv3QBGZk0jujBKgGW,Ministry of Communications,ug,,Dr. Chandra Sekhar Pemmasani,Minister of State,Ministry of Communications,"23372414, 23372565","Room No.: 102, 1st Floor, Sanchar Bhawan, New Delhi 110001",mosc-office@gov.in
